id,Composer,Title
bach_01,"Bach, J. S.","Keyboard Concerto in D minor, BWV 1052"
bach_02,"Bach, J. S.","Cantata “Ich habe genug”, BWV 82"
bach_03,"Bach, J. S.","Violin Partita No. 2 in D minor, BWV 1004"
bach_04,"Bach, J. S.","Cantata “Christ lag in Todesbanden”, BWV 4"
bach_05,"Bach, J. S.","St. Matthew Passion, BWV 244"
bach_06,"Bach, J. S.","Mass in B minor, BWV 232"
bach_07,"Bach, J. S.","The Art of Fugue, BWV 1080"
bach_08,"Bach, J. S.","Cantata “Herr, gehe nicht ins Gericht”, BWV 105"
bach_09,"Bach, J. S.","Keyboard Concerto in E major, BWV 1053"
barber_01,"Barber, Samuel","Violin Concerto, Op. 14"
bartok_01,"Bartók, Béla","Violin Concerto No. 2, BB 117"
beethoven_01,"Beethoven, Ludwig van","Piano Concerto No. 5 in E-flat major, Op. 73"
beethoven_02,"Beethoven, Ludwig van","String Quartet No. 14 in C-sharp minor, Op. 131"
beethoven_03,"Beethoven, Ludwig van","Symphony No. 5 in C minor, Op. 67"
beethoven_04,"Beethoven, Ludwig van","Piano Sonata No. 10 in G major, Op. 14, No. 2"
beethoven_05,"Beethoven, Ludwig van","Violin Concerto, Op. 61"
beethoven_06,"Beethoven, Ludwig van","Diabelli Variations, Op. 120"
berg_01,"Berg, Alban",Violin Concerto
berg_02,"Berg, Alban",Symphonic Suite from the Opera “Lulu”
brahms_01,"Brahms, Johannes","Nänie, Op. 82"
brahms_02,"Brahms, Johannes","Symphony No. 4, Op. 98"
brahms_03,"Brahms, Johannes","Piano Quartet No. 1 in G minor, Op. 25"
brahms_04,"Brahms, Johannes","Clarinet Sonata No. 1 in F minor, Op. 120, No. 1 (arr. Berio)"
brahms_05,"Brahms, Johannes","Intermezzo in B-flat minor, Op. 117, No. 2"
britten_01,"Britten, Benjamin","Violin Concerto, Op. 15"
britten_02,"Britten, Benjamin",Winter Words
britten_03,"Britten, Benjamin",Hymn to St. Cecilia
chopin_01,"Chopin, Frédéric","Fantaisie-Impromptu, Op. posth. 66"
chopin_02,"Chopin, Frédéric","Berceuse, Op. 57"
chopin_03,"Chopin, Frédéric","Piano Concerto No. 1 in E minor, Op. 11"
copland_01,"Copland, Aaron",Clarinet Concerto
copland_02,"Copland, Aaron",Twelve Poems of Emily Dickinson
copland_03,"Copland, Aaron",Violin Sonata
copland_04,"Copland, Aaron",Appalachian Spring
debussy_01,"Debussy, Claude","Prelude to the Afternoon of a Faun, L. 86"
debussy_02,"Debussy, Claude","String Quartet, L. 91"
debussy_03,"Debussy, Claude","Children’s Corner, L. 113"
debussy_04,"Debussy, Claude","Sonata for Flute, Viola, and Harp, L. 137"
dvorak_01,"Dvořák, Antonín","Symphony No. 7 in D minor, Op. 70, B. 141"
dvorak_02,"Dvořák, Antonín","Piano Trio No. 3 in F minor, Op. 65, B. 130"
haydn_01,"Haydn, Franz Joseph","Kaiserquartett, Op. 76, No. 3, Hob. III:77"
haydn_02,"Haydn, Franz Joseph","Keyboard Concerto No. 11 in D major, Hob. XVIII/11"
haydn_03,"Haydn, Franz Joseph","Piano Sonata No. 62 in E-flat major, Hob. XVI/52, L. 62"
haydn_04,"Haydn, Franz Joseph","Symphony No. 104, H. 1/104"
mahler_01,"Mahler, Gustav",Das Lied von der Erde
mahler_02,"Mahler, Gustav",Ich bin der Welt abhanden gekommen
mahler_03,"Mahler, Gustav",Adagietto (arr. Pesson)
mahler_04,"Mahler, Gustav",Symphony No. 6 in A minor
mendelssohn_01,"Mendelssohn, Felix","Violin Concerto in E minor, Op. 64"
mozart_01,"Mozart, W. A.","Clarinet Concerto, K. 622"
mozart_02,"Mozart, W. A.","Don Giovanni, K. 527"
mozart_03,"Mozart, W. A.","Ave verum corpus, K. 618"
mozart_04,"Mozart, W. A.","Symphony No. 38 in D major, K. 504 "
mozart_05,"Mozart, W. A.","Sinfonia Concertante for Four Winds, K. 297b"
mozart_06,"Mozart, W. A.","Piano Concerto No. 23 in A major, K. 488"
mozart_07,"Mozart, W. A.","Abendempfindung, K. 523"
newman_01,"Newman, Chris",New Songs of Social Conscience
palestrina_01,"Palestrina, G. P. da",Missa Papae Marcelli
poulenc_01,"Poulenc, Francis","Montparnasse, FP 127, No. 1"
rameau_01,"Rameau, Jean-Philippe",The Arts and the Hours (arr. Ólafsson)
ravel_01,"Ravel, Maurice","Trois Chansons, M. 69"
ravel_02,"Ravel, Maurice",Piano Concerto for the Left Hand
ravel_03,"Ravel, Maurice",Sonatine
ravel_04,"Ravel, Maurice","Trois poèmes de Mallarmé, M. 64"
satie_01,"Satie, Erik",Socrate
schubert_01,"Schubert, Franz","Piano Sonata No. 21 in B-flat major, D. 960"
schubert_02,"Schubert, Franz","Quartettsatz, D. 703"
schubert_03,"Schubert, Franz","Des Fischers Liebesglück, D. 937"
schubert_04,"Schubert, Franz","Fantasia in F minor, D. 940"
schubert_05,"Schubert, Franz","Gretchen am Spinnerade, D. 118"
schumann_01,"Schumann, Robert","Cello Concerto, Op. 129"
scriabin_01,"Scriabin, Alexander","Piano Sonata No. 3 in F-sharp minor, Op. 23"
